movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Night at the Museum: Battle of the Smithsonian , 2009 , PG ,2,3,1,"Since the first ""Night at the Museum,"" the disappointed museum security guard (Ben Stiller) has made a success of himself as an inventor. When he visits the Museum of Natural History and discovers their plans to do away with the exhibits that he had grown so fond of, he is determined to get them back. Also with Amy Adams, Hank Azaria, Owen Wilson, Steve Coogan, Dick Van Dyke, Ricky Gervais, Christopher Guest, Robert Ben Garant, Thomas Lennon and Robin Williams. Directed by Shawn Levy. [1:45]"
Night at the Museum: Secret of the Tomb , 2014 , PG ,2,5,3,"NYC Museum's night watchman (Ben Stiller) sees that the energy level of his living exhibits is waning and causing short-circuited disasters. Then he discovers the museum's Egyptian magic energy tablet is corroding and he takes his son (Skylar Gisondo), a monkey, a Pharaoh (Rami Malek) and Teddy Roosevelt (Robin Williams) to London's British Museum to find a way to recharge the tablet. Also with Owen Wilson, Steve Coogan, Ricky Gervais, Dan Stevens, Mizuo Peck, Ben Kingsley, Rebel Wilson, Dick Van Dyke, Mickey Rooney, Matt Frewer, Andrea Martin and Crystal the Monkey. Directed by Shawn Levy. [1:36]"
A Night at the Roxbury , 1998 , PG-13 ,5,2,5,"Will Ferrell and Chris Kattan play the head-bopping, club-hopping Butabi brothers of Saturday Night Live fame. Also with Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Chazz Palminteri, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman, Meredith Scott Lynn, Colin Quinn, Raquel Gardner, Viveca Paulin and Paulette Braxton. [1:21]"
The Night Before , 2015 , R ,8,4,10,"After a drunk driver kills his parents at Christmastime, a musician (Joseph Gordon-Levitt) celebrates the holiday with his two best friends (Seth Rogen and Anthony Mackie) every year for a decade. As one of them prepares himself for impending fatherhood, the friends go out for a final massive Christmas Eve adventure. Also with Michael Shannon, Lizzy Caplan, Jillian Bell and Mindy Kalig. Directed by Jonathan Levine. [1:41]"
Nightcrawler , 2014 , R ,3,7,9,"An LA freelancer (Jake Gyllenhaal) uses a video camera and a low-paid flunky (Riz Ahmed) to capture and sell footage of ghastly nighttime accidents and crimes. His public wants to see more and more blood and gore, so the freelancer and a TV news director (Rene Russo) are eager to comply. Also with Bill Paxton and Michael Hyatt. Directed by Dan Gilroy. [1:57]"
Night Falls on Manhattan , 1997 , R ,2,5,8,A DA tracks down corrupt cops -- and his father may be one of them.
The Night Listener , 2006 , R ,6,3,7,"Psychological thriller with Robin Williams starring as a famous author and radio show host, who receives the manuscript of a book written by a boy that was used as the subject of pornographic videos by his parents. When he also gets a call from the boy, he becomes suspicious about the boy's true identity and tries to track him down. Also with Toni Collette, Sandra Oh, Rory Culkin and Joe Morton. Directed by Patrick Stettner. [1:31]"
A Nightmare on Elm Street , 2010 , R ,4,9,6,"Several young men and young women discover that they are all having the same terrifying dreams, which include a horribly disfigured man wearing knives on his hands. They soon begin to die, one by one. Also with Jackie Earle Haley, Kyle Gallner, Thomas Dekker, Kellan Lutz, Rooney Mara, Connie Britton and Katie Cassidy. Directed by Sam Bayer. [1:30]"
Night on Earth , 1992 , R ,3,0,6,Assorted stories about people from different countries taking taxis at night.
Nights in Rodanthe , 2008 , PG-13 ,5,3,5,"A doctor (Richard Gere) trying to come to terms with a patient who died on the operating table, and a woman (Diane Lane) trying to come to terms with her husband's infidelity, meet at an inn and realize that they can help each other. Also with Christopher Meloni, Viola Davis, Mae Whitman, Pablo Schreiber, Charlie Tahan and Scott Glenn. Directed by George Wolfe. [1:37]"
Nightwatch , 1998 , R ,7,8,7,A law student gets embroiled in some nasty goings-on when he takes a job as a nightwatchman at the medical examiner's office. With Ewan McGregor and Patricia Arquette.
Night Watch , 2004 , R ,6,9,6,"Fantasy film set in contemporary Moscow that mixes horror and supernatural elements and revolves around a truce that has been maintained since medieval times between the forces of light and darkness. An ancient prophecy is about to come true, and both forces are anxious to acquire the allegiance of a boy who's destined to be super powerful. With Konstantin Khabensky, Vladimir Menshov, Maria Poroshina, Galina Tyunina and Mariya Poroshina. Directed by Timour Bekmambetov. In Russian, with English subtitles. [1:55]"
The Night We Never Met , 1993 , R ,5,1,6,"Romantic comedy about three New Yorkers who share an apartment, on different days; they get to know each other from what each one of them leaves behind. With Kevin Anderson, Matthew Broderick and Annabella Sciorra."
Nim's Island , 2008 , PG ,2,4,1,"Nim (Abigail Breslin), is an 11-year-old girl who lives alone on a South Pacific island with her scientist father (Gerard Butler) after her mother was swallowed by a great blue whale. When her father goes away on a two-day expedition, a storm strands him at sea and Nim answers an email from her favorite author, who, convinced that Nim is alone, injured, and being invaded by Buccaneer Cruise tourists tries to conquer her agoraphobia and is off to save Nim. Also with Peter Callan and Maddison Joyce. Directed by Jennifer Flackett and Mark Levin. [1:36]"
9 , 2009 , PG-13 ,1,5,0,"After the world has been destroyed by a war between humans and man-made machines, all that remains are a handful of beings that try to understand the world they have inherited. With the voices of Alan Oppenheimer, Tom Kane, Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover, Jennifer Connelly, Fred Tatasciore and Elijah Wood. Directed by Shane Acker. [1:19]"
Nine , 2009 , PG-13 ,6,3,3,"A once brilliant director (Daniel Day-Lewis) is preparing for his newest film, which he hopes will re-ignite his career. Unable to sleep, write or think, he's doubting himself, while also having to juggle life with both his mistress (Penelope Cruz) and his wife (Marion Cotillard). Also with Nicole Kidman, Judi Dench, Stacy 'Fergie' Ferguson, Kate Hudson, Sophia Loren and Ricky Tognazzi. Directed by Rob Marshall. [1:58]"
9/11 , 2017 , R ,1,4,6,"Based on a play: Five people (Charlie Sheen, Gina Gershon, Luis Guzmán, Wood Harris and Olga Fonda) are trapped in an elevator during the 9/11 terrorist attacks on the World Trade Center towers and fear for their lives as the towers begin to crumble. Also with Whoopi Goldberg and Jacqueline Bisset. Directed by Martin Guigui. [1:30]"
Nine Lives , 2005 , R ,5,4,6,"Drama about nine women who, under various circumstances, are all being forced to confront the relationships in their lives and make choices about the direction they will now take. With Kathy Baker, Amy Brenneman, Andrew Borba, Elpidia Carrillo, Glenn Close, Holly Hunter and Sissy Spacek. Directed by Rodrigo García. [1:54]"
Nine Lives , 2016 , PG ,2,3,2,"A successful businessman but distracted father (Kevin Spacey) finds himself transported into the body of the family cat and unless he can reconcile himself with his estranged wife (Jennifer Garner) and daughter he'll remain a feline forever. Also with, Robbie Amell, Cheryl Hines, Mark Consuelos, Malina Weissman, Christopher Walken and Talitha Bateman. Directed by Barry Sonnenfeld. [1:27]"
Nine Months , 1995 , PG-13 ,3,2,5,Hugh Grant discovers the joys of fatherhood when girlfriend Julianne Moore accidentally becomes pregnant.
90 Minutes in Heaven , 2015 , PG-13 ,1,5,1,"A man (Hayden Christensen) recounts his moments after a horrible car accident, when he was declared dead and he describes being taken to heaven. Also with Kate Bosworth, Hudson Meek, Bobby Batson, Elizabeth Hunter, David Clyde Carr, Catherine Carlen and Dwight Yoakam. Directed by Michael Polish. [2:01]"
99 Homes , 2015 , R ,3,6,10,"During the sub prime mortgage crisis in 2010, a hardworking blue-collar builder (Andrew Garfield) loses his job and along with his mother (Laura Dern) and his young son (Noah Lomax) he's evicted from his childhood home by a greedy Florida foreclosure specialist (Mike Shannon). In order to survive and keep his house, the builder reluctantly accepts a job evicting the families of his son's classmates. Also with Clancy Brown, Tim Guinee, Cullen Moss, J.D. Evermore, Nicole Barré, Cynthia Santiago, Manu Narayan and Aniyah Skyy. Directed by Ramin Bahrani. [1:52]"
Ninja Assassin , 2009 , R ,3,10,6,"A clan of warriors takes in orphans and trains them to be ruthless assassins. When one boy grows to adulthood, he questions the leader and acts against the clan, and soon he has to fight his former comrades. With Rain, Naomie Harris, Ben Miles and Rick Yune. Directed by James McTeigue. [1:39]"
The Ninth Gate , 2000 , R ,6,6,5,"Playing a sleazy rare-book buyer/seller, Johnny Depp encounters ominous people and even more ominous ""occurrences"" while in Europe researching editions of a book supposedly written by Satan. Also with Frank Langella, Lena Olin, Emmanuelle Seigner, Barbara Jefford, Jack Taylor, José López Rodero, James Russo, Tony Amoni, Willy Holt, Maria Ducceshi and Jacques Collard. [2:07]"
Noah , 2014 , PG-13 ,3,6,1,"The creator warns Noah (Russell Crowe) that life on earth will be extinguished in a great flood and provides instructions on how to build a large ark to save his family and a pair of each animal species at their current stage of development. Noah struggles with his mission and meets heavy resistance and attacks while receiving encouragement from his grandfather Methuselah (Anthony Hopkins). Also with Kevin Durand, Frank Langella, Mark Margolis, Nick Nolte, Jennifer Connelly, Emma Watson, Logan Lerman, Douglas Booth and Leo McHugh Carroll. Directed by Darren Aranofsky. [2:19]"
Nobel Son , 2008 , R ,8,7,7,"Black comedy with Alan Rickman as a womanizing professor who wins the Nobel Prize for Chemistry. However, his gloating is short-lived when he and his wife (Mary Steenburgen) learn of their son's (Bryan Greenberg) kidnapping. Also with Bill Pullman, Danny DeVito, Eliza Dushku, Ted Danson, Shawn Hatosy, Ernie Hudson, Tracey Walter, Lindy Booth and Kevin West. Directed by Randall Miller. [1:15]"
Nobody's Fool , 1995 , R ,5,2,5,Paul Newman stars as a man down on his luck in a small hard-luck town. The late Jessica Tandy and Melanie Griffith also star.
Nobody Walks , 2012 , R ,7,2,6,"When the daughter of a family friend (Olivia Thirlby) comes to stay at the Los Angeles home of a couple (Rosemarie DeWitt and John Krasinski), their laid-back lifestyle is threatened by her presence. Also with Jane Levy, Rhys Wakefield, India Ennenga and Dylan McDermott. Directed by Ry Russo-Young. [1:23]"
No Country for Old Men , 2007 , R ,1,9,5,"Ethan & Joel Coen direct this screen adaptation of the eponymous Cormac McCarthy novel: It's the early 1980s and in West Texas a psychopathic killer (Javier Bardem) is looking for a briefcase full of money, while the local man (Josh Brolin) who found the money after stumbling onto a drug deal gone bad, is trying to make sure he's not discovered. Also with Tommy Lee Jones, Woody Harrelson, Kelly Macdonald, Beth Grant and Garret Dillahunt. [2:02]"
Nocturnal Animals , 2016 , R ,7,8,10,"An art dealer (Amy Adams) receives a novel manuscript from her ex-husband and watches her own life unravel while reading the distressing story. Also with Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson, Isla Fisher, Ellie Bamber, Armie Hammer, Karl Glusman, Robert Aramayo, Laura Linney and Michael Sheen. Directed by Tom Ford. [1:57]"
No Escape , 1994 , R ,1,7,3,"Futuristic thriller about an island prison where there is little chance for survival, and Ray Liotta's attempt to escape."
